Attribute	frequency
poori	49
chick	48
deep	48
y	48
lettuce	48
boy	48
st	48
tiny	48
panner	48
lobster	48
students	48
margarita	48
mushroom	47
crowd	47
cup	47
cooking	47
sorry	47
different	47
note	47
driver	47
morning	46
grab	46
came	46
culture	46
apart	46
shami	46
older	46
lincoln	46
khyber	46
sambhar	46
got	45
vegetarians	45
difference	45
miss	45
orange	45
add	45
dahi	45
dum	45
m	44
mall	44
average	44
perfection	44
done	44
proper	44
marsala	44
treat	44
hence	44
hasn	44
salty	44
beers	44
tax	43
none	43
share	43
months	43
cashew	42
eats	42
visits	42
experiences	42
suggestions	42
head	42
cabbage	42
bus	42
waitstaff	42
ground	42
bright	42
rajun	42
hyde	42
member	41
greasy	41
mom	41
mahi	41
use	41
almond	41
cardamom	41
bell	41
woman	41
playing	41
mention	41
attitude	41
beans	41
looks	41
face	40
buffets	40
fruit	40
carrots	40
touch	40
hostess	40
diners	40
bunch	40
glass	40
occasions	40
nawaz	40
female	40
chops	40
mantra	40
prix	40
pricing	39
yeah	39
flavorless	39
dipping	39
cumin	39
hungry	39
while	39
pak	39
chewy	39
craft	39
ghost	39
rolls	38
help	38
hole	38
conversation	38
outside	38
folks	38
soul	38
dude	38
situation	38
changes	38
york	38
hadn	38
bistro	38
hands	37
interior	37
members	37
twist	37
skip	37
cash	37
lassis	37
hair	37
stale	37
forget	37
chocolate	37
papadum	37
thai	37
palace	37
vermillion	37
papad	36
poor	36
me	36
notice	36
machine	36
venue	36
strange	36
bag	36
uru	36
tons	36
tad	35
trendy	35
thank	35
longer	35
do	35
process	35
grub	35
fire	35
raw	35
regret	35
brunch	35
lamp	35
breast	35
kids	35
snacks	35
plus	34
kheema	34
smells	34
alone	34
cleanliness	34
grubhub	34
freshness	34
unique	34
overall	34
crust	34
birthday	34
opinion	34
cinnamon	34
hubby	34
system	34
lights	34
com	34
par	34
otherwise	34
containers	34
damn	34
college	34
diner	34
preparation	34
pot	34
southern	34
bartender	34
be	34
shawarma	34
alu	34
kadai	34
river	33
sort	33
spread	33
shot	33
staple	33
eaters	33
spending	33
mistake	33
pre	33
cards	33
bathrooms	33
manner	33
chairs	33
spent	33
simple	33
cod	33
breakfast	33
thin	33
crepe	33
udupi	33
class	32
same	32
complaint	32
bomb	32
west	32
beats	32
comfort	32
bottle	32
tomatoes	32
bottom	32
team	32
wan	32
crunchy	32
lighting	32
mouth	32
gobhi	32
fritters	32
nom	32
less	32
alternative	32
paki	32
mediocre	32
mussels	32
cab	32
myself	32
woodlands	32
avenue	32
sub	32
karachi	32
fixe	32
beard	32
dosai	32
methi	31
women	31
starters	31
wise	31
empty	31
matter	31
walls	31
rich	31
discount	31
bits	31
range	31
baby	31
answer	31
reasons	31
joints	31
center	31
box	31
dirty	31
tapas	31
succulent	30
baigan	30
families	30
larger	30
weren	30
wicker	30
sense	30
am	30
cups	30
request	30
question	30
tonight	30
favorites	30
include	30
sizes	30
speed	30
pickle	30
moist	30
pistachio	30
bhuna	30
mustard	30
words	30
shame	30
block	30
left	30
tso	30
cottage	30
kababs	30
chole	30
sandwich	30
hearty	29
considering	29
sev	29
costs	29
product	29
array	29
himalayan	29
shake	29
show	29
crazy	29
red	29
buds	29
spring	29
pulav	29
patrons	29
mixture	29
slices	29
dollars	29
went	29
pakistan	29
shank	29
tandori	28
loud	28
say	28
away	28
rush	28
mins	28
change	28
mile	28
mess	28
smoke	28
past	28
spicey	28
nearby	28
restrooms	28
having	28
save	28
safe	28
problems	28
consistent	28
batura	28
requests	28
parties	28
min	28
near	28
awkward	28
navratan	28
coz	28
naansense	28
gets	28
lover	28
halal	28
station	28
questions	28
biryanis	28
haleem	28
news	28
superb	28
batches	28
ki	28
bhurji	27
fee	27
total	27
cities	27
offers	27
page	27
guests	27
delicacies	27
cafeteria	27
carry	27
anyway	27
month	27
cons	27
break	27
luck	27
zero	27
leaves	27
hub	27
standards	27
culinary	27
platters	27
life	27
school	27
specialty	27
napkins	27
apology	27
cut	27
selections	27
products	27
hit	26
leave	26
menus	26
yourself	26
tadka	26
bites	26
restrictions	26
chips	26
plenty	26
language	26
entre	26
aka	26
hotel	26
naanwich	26
tart	26
tends	26
adventure	26
train	26
strawberry	26
random	26
patio	26
lime	26
martini	26
health	26
gujarati	26
parathas	26
tiffin	26
upscale	25
eye	25
syrup	25
dress	25
minor	25
locations	25
picture	25
boyfriend	25
quite	25
pita	25
ratio	25
eater	25
watery	25
word	25
moment	25
dry	25
taco	25
slaw	25
dressings	25
mexican	25
address	25
desert	25
flavour	25
start	25
squash	25
gon	25
falafel	25
achari	25
air	24
pop	24
needs	24
per	24
apps	24
details	24
effort	24
jeera	24
hip	24
craving	24
square	24
doors	24
hope	24
kashmiri	24
goodness	24
parts	24
blocks	24
tika	24
palate	24
appetite	24
cozy	24
toilet	24
crunch	24
sister	24
dim	24
dcor	24
soft	24
amounts	24
salads	24
waitresses	24
ale	24
ala	24
valet	24
tacos	24
fountain	24
penne	24
cheesecake	24
rare	24
ketchup	24
resist	24
green	24
burrito	24
helping	24
wish	24
puffy	24
bhatura	24
videos	24
lackluster	24
access	24
prayer	24
taxi	24
paya	24
form	24
behari	24
irfan	24
skills	24
till	24
pier	24
mac	24
calamari	24
whitefish	24
courses	23
worst	23
subpar	23
offerings	23
pretty	23
shit	23
regular	23
sea	23
smile	23
express	23
massala	23
tolerance	23
wow	23
summer	23
scene	23
black	23
yelpers	23
favor	23
cause	23
whole	23
flight	23
setup	23
suggestion	23
restroom	23
complaints	23
winter	23
clay	23
broth	23
liquor	23
stand	23
competition	23
drivers	23
bhature	23
desk	23
valentine	23
taj	23
hummus	23
points	22
communication	22
booth	22
pastry	22
papdi	22
fashion	22
sizzling	22
chettinad	22
yellow	22
reservations	22
pure	22
saving	22
styles	22
bars	22
stay	22
yea	22
barrier	22
somosas	22
god	22
indians	22
joe	22
shirt	22
names	22
mushrooms	22
bhartha	22
bucks	22
detail	22
lukewarm	22
pasta	22
depth	22
nahari	22
pictures	22
finding	22
avoid	22
utensils	22
speak	22
raitha	22
duck	22
caliber	22
towards	22
fillings	22
frozen	22
sitting	22
yoghurt	22
styrofoam	22
aaloo	22
feels	22
tabaq	22
men	22
happen	22
talk	22
pm	22
kachori	22
reshmi	22
convenience	22
daughter	22
hygiene	22
wash	22
pindi	22
silverware	22
flan	22
curd	21
honey	21
basis	21
takeout	21
downside	21
mains	21
flavorful	21
stream	21
mojito	21
dairy	21
weather	21
flour	21
student	21
enter	21
dozen	21
authenticity	21
smoothie	21
bonus	21
powder	21
register	21
storefront	21
ish	21
nights	21
gin	21
comments	21
clark	21
goan	21
mahal	21
chilis	21
bass	21
mother	20
office	20
kadhai	20
groupon	20
rate	20
temperature	20
lemon	20
plant	20
comes	20
setting	20
intimate	20
standard	20
knowledge	20
dont	20
heart	20
chefs	20
shouldn	20
coke	20
lack	20
noodles	20
can	20
trust	20
explanation	20
spicier	20
relaxing	20
burgers	20
garam	20
bucket	20
variations	20
ass	20
cashier	20
establishments	20
naf	20
greens	20
design	20
beverages	20
exterior	20
offering	20
fair	20
complexity	20
faraz	20
soda	20
handle	20
refreshing	20
shop	20
hopes	20
return	20
tells	20
lemonade	20
rajma	20
convenient	20
bloody	20
complement	20
afterwards	20
mughlai	20
delivers	20
frequent	20
cabbies	20
shell	20
yelper	20
serves	20
omelette	20
stuffing	20
brain	20
tv	20
states	20
khan	20
tone	20
america	20
features	20
cleaning	20
rewards	20
dad	20
odd	20
plantain	20
oberoi	20
italian	20
rasam	20
lit	19
hint	19
nyc	19
tofu	19
navaratan	19
honor	19
occasion	19
gold	19
mini	19
pickles	19
thing	19
treats	19
sample	19
buy	19
outer	19
dates	19
grease	19
high	19
decision	19
cooks	19
puts	19
market	19
dollar	19
kerala	19
hyderabadi	19
mood	18
practice	18
organization	18
vegans	18
aromas	18
pulao	18
garnish	18
introduction	18
impression	18
paste	18
packaging	18
boxes	18
fault	18
waste	18
ur	18
again	18
pineapple	18
carrot	18
chilies	18
late	18
nobody	18
diet	18
calls	18
window	18
haryali	18
piping	18
batch	18
meets	18
lakeview	18
carb	18
gesture	18
furniture	18
rubbery	18
gluten	18
matka	18
distance	18
cholay	18
sweeter	18
halwa	18
deli	18
services	18
yolk	18
ribs	18
companion	18
movie	18
treatment	18
bengan	18
garbage	18
run	18
cracker	18
tenders	18
watering	18
keeps	18
turka	18
streeterville	18
justify	18
steel	18
sour	17
sweets	17
weekends	17
nicer	17
chicagoland	17
soggy	17
partner	17
rose	17
bagara	17
pack	17
dark	17
leftover	17
refill	17
compliment	17
prompt	17
modern	17
aren	17
chill	17
search	17
memory	17
blew	17
turn	17
efficient	17
update	17
fatty	17
blow	17
hidden	17
coast	17
entry	17
flavours	17
always	17
bundoo	17
shan	17
essence	17
support	17
facility	17
bisque	17
noise	16
hindi	16
resto	16
read	16
getting	16
code	16
twenty	16
weekday	16
ton	16
decorations	16
cucumbers	16
deliciousness	16
explaining	16
preference	16
building	16
chile	16
watch	16
chhoela	16
versions	16
drop	16
narrow	16
khasi	16
af	16
americans	16
deserves	16
refills	16
lines	16
steam	16
pan	16
bags	16
attentive	16
shai	16
amd	16
accompaniment	16
department	16
met	16
uber	16
falooda	16
ceviche	16
chatt	16
weeks	16
prawns	16
gentleman	16
skimp	16
build	16
cuisines	16
ate	16
lighter	16
component	16
bang	16
microwave	16
kyber	16
jewel	16
quiet	16
rotis	16
community	16
spciy	16
bean	16
consider	16
visitor	16
teas	16
areas	16
crackers	16
dance	16
psuedo	16
loyalty	16
parantha	16
little	16
trays	16
thaali	16
package	16
himshikar	16
til	16
infection	16
throat	16
sink	16
wok	16
absar	16
qeema	16
anardana	16
skirt	16
duo	16
slash	16
portuguese	16
empanada	16
buck	15
meh	15
pricier	15
sweetness	15
write	15
ratings	15
guest	15
recipes	15
batter	15
book	15
pizza	15
jalfrezi	15
interiors	15
bc	15
truck	15
stir	15
weird	15
pleasant	15
aroma	15
combinations	15
grandma	15
walks	15
explain	15
attempt	15
art	15
village	15
fellow	15
reading	15
standing	15
handling	15
dinners	15
starbucks	15
across	15
streets	15
accompaniments	15
punch	15
gaylord	15
mcdonald	15
mmm	15
bummer	14
yum	14
bay	14
contact	14
kadhi	14
sugar	14
jaipuri	14
seats	14
whatsoever	14
iron	14
foot	14
cutlet	14
combos	14
tomorrow	14
whenever	14
spoon	14
post	14
blends	14
