Attribute	Frequency
pricing	78
bulgogi	78
moscow	78
kani	77
selections	77
ordering	77
design	77
meals	77
ask	77
calamari	77
shoulder	77
medium	77
close	77
carte	76
otoro	75
snapper	75
zan	75
school	75
tokyo	74
o	74
floor	74
forget	74
kobe	74
cheap	73
attention	73
japan	73
stone	73
wild	73
pancake	73
fast	72
outside	72
light	72
finish	72
main	72
cha	72
considering	72
slice	72
cook	72
tower	72
sen	72
daisy	72
agedashi	71
scallions	71
stars	71
section	71
walk	71
soups	71
na	70
smell	70
understand	70
donburi	70
corner	70
blue	70
foie	70
waiters	70
filet	70
concept	69
rating	69
fee	69
use	69
idea	69
fact	69
mita	69
different	68
rich	68
share	68
overall	68
impression	68
scallion	68
cute	68
rest	68
chairs	68
chashu	68
pok	68
french	68
vegan	67
tastes	67
saki	67
pre	67
kaku	67
jumbo	67
sabi	67
etc	66
u	66
lava	66
pearls	66
brulee	66
looking	66
counter	66
smokey	66
bunch	65
bars	65
angry	65
rush	65
wife	65
temperature	65
fall	64
booze	64
asparagus	64
deep	64
ahi	64
slow	64
lol	64
mule	64
charge	64
tsukiji	63
potatoes	63
quantity	63
red	63
squid	63
hearty	63
hands	62
say	62
ground	62
chair	62
miss	62
card	62
escolar	62
stand	62
color	62
sides	62
alligator	62
purple	61
ball	61
sliders	61
patio	61
taco	61
brown	60
occasions	60
pickles	60
assortment	60
intimate	60
sister	60
apple	60
turtle	60
mules	60
dressing	59
togarashi	59
offer	59
regret	59
hotate	58
yolk	58
homemade	58
baby	58
ton	58
grade	58
fix	58
weren	58
opinion	58
plenty	58
interior	58
sunda	58
prawn	57
stomach	57
glasses	57
problem	57
thanks	57
serving	57
corkage	57
bland	57
greens	57
textures	57
south	57
root	57
rock	57
ceviche	57
heat	56
experiences	56
caviar	56
wow	56
loud	56
twist	56
vinegar	56
playing	56
looks	56
salads	56
pick	56
owners	56
lamb	56
loves	56
snow	56
manner	56
bean	56
venue	56
offerings	55
plain	55
dozen	55
ghost	55
shu	55
martinis	55
lettuce	54
goodness	54
waygu	54
powder	54
shooter	54
average	54
conversation	54
cheesecake	54
range	54
phone	54
lit	54
midori	54
soda	53
chips	53
stick	53
limit	53
sour	53
honey	53
outdoor	53
cut	53
brisket	53
pad	53
tacos	53
per	53
pretty	53
protein	53
pink	53
